Time,City,Id,parameter,value,status,valid
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NO,5.3,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NOX,19,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NO2,13.8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,O3,44.7,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,PM10,-66.8,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,WS,1.2,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,WD,8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,GSR,738.4,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,Rain,0,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,RH,59.2,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,Temp,15,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,StWd,42.8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,PM2.5,-27.3,2,FALSE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,SO2,1.4,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NOX,70.8,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO,47.3,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO2,23.5,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,PM10,80,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,SO2,2.1,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,WS,2.6,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,WD,191,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,O3,16.9,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NOX,19.5,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NO,0.6,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NO2,18.9,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,PM10,79.2,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,SO2,1.5,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WS,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WD,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,StWd,-9999,0,FALSE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,O3,41.3,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NOX,3.5,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO,0.6,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO2,2.9,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,Rain,-9999,2,FALSE
2025-04-07T00:00:00+02:00,Achisamach,78,SO2,1.1,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,WS,0.1,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,WD,153,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,O3,26.8,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,NOX,13.8,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,NO,0.5,1,TRUE
2025-04-07T00:00:00+02:00,Achisamach,78,NO2,13.2,1,TRUE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,SO2,2.2,27,FALSE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,NOX,0.9,1,TRUE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,NO,0.7,1,TRUE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,NO2,0.1,1,TRUE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,PM10,37.3,1,TRUE
2025-04-07T00:05:00+02:00,Yad Rambam New,338,PM2.5,15.21,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NO,5.3,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NOX,19,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,NO2,13.8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,O3,44.7,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,PM10,-66.8,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,WS,1.2,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,WD,8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,GSR,738.4,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,Rain,0,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,RH,59.2,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,Temp,15,2,FALSE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,StWd,42.8,1,TRUE
2017-02-06T09:35:00+02:00,Modiin Hinanit,31,PM2.5,-27.3,2,FALSE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,SO2,1.4,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NOX,70.8,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO,47.3,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,NO2,23.5,1,TRUE
2015-12-22T08:50:00+02:00,Yad Rambam 1,40,PM10,80,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,SO2,2.1,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,WS,2.6,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,WD,191,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,O3,16.9,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NOX,19.5,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NO,0.6,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,NO2,18.9,1,TRUE
2025-04-07T00:00:00+02:00,Modiin,64,PM10,79.2,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,SO2,1.5,1,TRUE
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WS,-9999,0,FALSE
